Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Sweden,South Central Sweden,SE-SE3,1.34,26.3,99.85,54.67,entsoe.eu,false,
2022-01-01 01:00:00,Sweden,South Central Sweden,SE-SE3,1.33,26.28,99.85,55.25,entsoe.eu,false,
2022-01-01 02:00:00,Sweden,South Central Sweden,SE-SE3,1.33,26.25,99.85,55.52,entsoe.eu,false,
2022-01-01 03:00:00,Sweden,South Central Sweden,SE-SE3,1.36,26.77,99.85,53.33,entsoe.eu,false,
2022-01-01 04:00:00,Sweden,South Central Sweden,SE-SE3,1.36,26.81,99.85,54.81,entsoe.eu,false,
2022-01-01 05:00:00,Sweden,South Central Sweden,SE-SE3,1.39,27.3,99.85,54.96,entsoe.eu,false,
2022-01-01 06:00:00,Sweden,South Central Sweden,SE-SE3,2.54,29.44,99.69,55.71,entsoe.eu,false,
2022-01-01 07:00:00,Sweden,South Central Sweden,SE-SE3,1.44,28.42,99.84,56.93,entsoe.eu,false,
2022-01-01 08:00:00,Sweden,South Central Sweden,SE-SE3,1.58,28.51,99.82,57.65,entsoe.eu,false,
2022-01-01 09:00:00,Sweden,South Central Sweden,SE-SE3,2.79,30.45,99.65,58.12,entsoe.eu,false,
2022-01-01 10:00:00,Sweden,South Central Sweden,SE-SE3,1.82,30.11,99.79,56.99,entsoe.eu,false,
2022-01-01 11:00:00,Sweden,South Central Sweden,SE-SE3,1.58,29.69,99.82,56.19,entsoe.eu,false,
2022-01-01 12:00:00,Sweden,South Central Sweden,SE-SE3,1.57,29.49,99.82,55.55,entsoe.eu,false,
2022-01-01 13:00:00,Sweden,South Central Sweden,SE-SE3,1.55,29.2,99.83,55.85,entsoe.eu,false,
2022-01-01 14:00:00,Sweden,South Central Sweden,SE-SE3,1.53,28.98,99.83,56.23,entsoe.eu,false,
2022-01-01 15:00:00,Sweden,South Central Sweden,SE-SE3,1.48,28.53,99.83,56.81,entsoe.eu,false,
2022-01-01 16:00:00,Sweden,South Central Sweden,SE-SE3,3.42,30.49,99.54,58.23,entsoe.eu,false,
2022-01-01 17:00:00,Sweden,South Central Sweden,SE-SE3,9.59,37.24,98.62,59.67,entsoe.eu,false,
2022-01-01 18:00:00,Sweden,South Central Sweden,SE-SE3,6.41,33.36,99.13,60.27,entsoe.eu,false,
2022-01-01 19:00:00,Sweden,South Central Sweden,SE-SE3,1.36,27.36,99.85,60.55,entsoe.eu,false,
2022-01-01 20:00:00,Sweden,South Central Sweden,SE-SE3,1.31,27.18,99.86,60.98,entsoe.eu,false,
2022-01-01 21:00:00,Sweden,South Central Sweden,SE-SE3,1.29,27.0,99.86,61.4,entsoe.eu,false,
2022-01-01 22:00:00,Sweden,South Central Sweden,SE-SE3,1.23,25.99,99.86,61.23,entsoe.eu,false,
2022-01-01 23:00:00,Sweden,South Central Sweden,SE-SE3,1.19,24.95,99.87,61.15,entsoe.eu,false,
2022-01-02 00:00:00,Sweden,South Central Sweden,SE-SE3,1.2,24.49,99.86,60.13,entsoe.eu,false,
2022-01-02 01:00:00,Sweden,South Central Sweden,SE-SE3,1.12,23.94,99.87,59.17,entsoe.eu,false,
2022-01-02 02:00:00,Sweden,South Central Sweden,SE-SE3,1.68,25.16,99.79,55.72,entsoe.eu,false,
2022-01-02 03:00:00,Sweden,South Central Sweden,SE-SE3,2.29,26.64,99.69,53.9,entsoe.eu,false,
2022-01-02 04:00:00,Sweden,South Central Sweden,SE-SE3,3.28,27.97,99.52,53.96,entsoe.eu,false,
2022-01-02 05:00:00,Sweden,South Central Sweden,SE-SE3,3.58,28.24,99.48,53.68,entsoe.eu,false,
2022-01-02 06:00:00,Sweden,South Central Sweden,SE-SE3,3.71,28.65,99.46,55.03,entsoe.eu,false,
2022-01-02 07:00:00,Sweden,South Central Sweden,SE-SE3,3.43,28.66,99.51,56.05,entsoe.eu,false,
2022-01-02 08:00:00,Sweden,South Central Sweden,SE-SE3,1.3,26.45,99.86,58.04,entsoe.eu,false,
2022-01-02 09:00:00,Sweden,South Central Sweden,SE-SE3,1.35,27.07,99.85,58.55,entsoe.eu,false,
2022-01-02 10:00:00,Sweden,South Central Sweden,SE-SE3,1.8,27.95,99.78,58.56,entsoe.eu,false,
2022-01-02 11:00:00,Sweden,South Central Sweden,SE-SE3,1.38,27.37,99.85,59.2,entsoe.eu,false,
2022-01-02 12:00:00,Sweden,South Central Sweden,SE-SE3,1.4,27.37,99.84,59.47,entsoe.eu,false,
2022-01-02 13:00:00,Sweden,South Central Sweden,SE-SE3,1.39,27.12,99.84,60.46,entsoe.eu,false,
2022-01-02 14:00:00,Sweden,South Central Sweden,SE-SE3,1.34,26.49,99.85,59.85,entsoe.eu,false,
2022-01-02 15:00:00,Sweden,South Central Sweden,SE-SE3,1.39,27.28,99.84,59.23,entsoe.eu,false,
2022-01-02 16:00:00,Sweden,South Central Sweden,SE-SE3,1.41,27.55,99.84,59.09,entsoe.eu,false,
2022-01-02 17:00:00,Sweden,South Central Sweden,SE-SE3,1.42,27.74,99.84,58.05,entsoe.eu,false,
2022-01-02 18:00:00,Sweden,South Central Sweden,SE-SE3,1.45,28.19,99.84,56.93,entsoe.eu,false,
2022-01-02 19:00:00,Sweden,South Central Sweden,SE-SE3,1.42,27.7,99.84,55.0,entsoe.eu,false,
2022-01-02 20:00:00,Sweden,South Central Sweden,SE-SE3,1.48,28.2,99.84,51.49,entsoe.eu,false,
2022-01-02 21:00:00,Sweden,South Central Sweden,SE-SE3,1.87,28.78,99.78,51.88,entsoe.eu,false,
2022-01-02 22:00:00,Sweden,South Central Sweden,SE-SE3,5.1,33.43,99.27,46.85,entsoe.eu,false,
2022-01-02 23:00:00,Sweden,South Central Sweden,SE-SE3,11.1,40.99,98.45,42.1,entsoe.eu,false,
2022-01-03 00:00:00,Sweden,South Central Sweden,SE-SE3,11.28,41.18,98.41,40.29,entsoe.eu,false,
2022-01-03 01:00:00,Sweden,South Central Sweden,SE-SE3,11.46,41.8,98.38,39.69,entsoe.eu,false,
2022-01-03 02:00:00,Sweden,South Central Sweden,SE-SE3,9.32,39.22,98.64,39.9,entsoe.eu,false,
2022-01-03 03:00:00,Sweden,South Central Sweden,SE-SE3,12.05,42.59,98.35,41.13,entsoe.eu,false,
2022-01-03 04:00:00,Sweden,South Central Sweden,SE-SE3,8.48,38.27,98.79,43.0,entsoe.eu,false,
2022-01-03 05:00:00,Sweden,South Central Sweden,SE-SE3,5.92,34.24,99.13,51.19,entsoe.eu,false,
2022-01-03 06:00:00,Sweden,South Central Sweden,SE-SE3,1.66,28.76,99.81,56.79,entsoe.eu,false,
2022-01-03 07:00:00,Sweden,South Central Sweden,SE-SE3,2.52,29.54,99.7,57.51,entsoe.eu,false,
2022-01-03 08:00:00,Sweden,South Central Sweden,SE-SE3,4.74,31.9,99.41,58.29,entsoe.eu,false,
2022-01-03 09:00:00,Sweden,South Central Sweden,SE-SE3,2.41,29.11,99.71,57.59,entsoe.eu,false,
2022-01-03 10:00:00,Sweden,South Central Sweden,SE-SE3,1.44,27.9,99.84,58.12,entsoe.eu,false,
2022-01-03 11:00:00,Sweden,South Central Sweden,SE-SE3,3.23,29.9,99.6,59.07,entsoe.eu,false,
2022-01-03 12:00:00,Sweden,South Central Sweden,SE-SE3,3.6,30.11,99.55,59.18,entsoe.eu,false,
2022-01-03 13:00:00,Sweden,South Central Sweden,SE-SE3,4.43,30.8,99.43,60.39,entsoe.eu,false,
2022-01-03 14:00:00,Sweden,South Central Sweden,SE-SE3,6.46,33.28,99.18,60.42,entsoe.eu,false,
2022-01-03 15:00:00,Sweden,South Central Sweden,SE-SE3,6.84,33.64,99.14,61.23,entsoe.eu,false,
2022-01-03 16:00:00,Sweden,South Central Sweden,SE-SE3,7.37,34.16,99.07,61.34,entsoe.eu,false,
2022-01-03 17:00:00,Sweden,South Central Sweden,SE-SE3,4.83,31.23,99.39,60.94,entsoe.eu,false,
2022-01-03 18:00:00,Sweden,South Central Sweden,SE-SE3,1.42,27.48,99.84,60.71,entsoe.eu,false,
2022-01-03 19:00:00,Sweden,South Central Sweden,SE-SE3,1.37,27.42,99.85,60.34,entsoe.eu,false,
2022-01-03 20:00:00,Sweden,South Central Sweden,SE-SE3,1.36,27.18,99.85,59.27,entsoe.eu,false,
2022-01-03 21:00:00,Sweden,South Central Sweden,SE-SE3,1.32,26.62,99.85,59.41,entsoe.eu,false,
2022-01-03 22:00:00,Sweden,South Central Sweden,SE-SE3,1.27,25.89,99.86,58.5,entsoe.eu,false,
2022-01-03 23:00:00,Sweden,South Central Sweden,SE-SE3,1.25,25.39,99.86,57.26,entsoe.eu,false,
2022-01-04 00:00:00,Sweden,South Central Sweden,SE-SE3,1.24,25.25,99.86,56.76,entsoe.eu,false,
2022-01-04 01:00:00,Sweden,South Central Sweden,SE-SE3,1.25,24.97,99.86,58.04,entsoe.eu,false,
2022-01-04 02:00:00,Sweden,South Central Sweden,SE-SE3,1.25,24.82,99.86,58.78,entsoe.eu,false,
2022-01-04 03:00:00,Sweden,South Central Sweden,SE-SE3,1.22,24.83,99.86,60.01,entsoe.eu,false,
2022-01-04 04:00:00,Sweden,South Central Sweden,SE-SE3,1.27,25.46,99.86,60.39,entsoe.eu,false,
2022-01-04 05:00:00,Sweden,South Central Sweden,SE-SE3,1.31,26.15,99.85,60.12,entsoe.eu,false,
2022-01-04 06:00:00,Sweden,South Central Sweden,SE-SE3,1.36,26.92,99.85,60.44,entsoe.eu,false,
2022-01-04 07:00:00,Sweden,South Central Sweden,SE-SE3,1.39,26.95,99.83,62.08,entsoe.eu,false,
2022-01-04 08:00:00,Sweden,South Central Sweden,SE-SE3,1.38,26.86,99.84,61.37,entsoe.eu,false,
2022-01-04 09:00:00,Sweden,South Central Sweden,SE-SE3,1.31,26.8,99.85,61.84,entsoe.eu,false,
2022-01-04 10:00:00,Sweden,South Central Sweden,SE-SE3,1.3,26.82,99.85,61.83,entsoe.eu,false,
2022-01-04 11:00:00,Sweden,South Central Sweden,SE-SE3,1.33,26.81,99.85,61.54,entsoe.eu,false,
2022-01-04 12:00:00,Sweden,South Central Sweden,SE-SE3,1.35,26.74,99.84,61.52,entsoe.eu,false,
2022-01-04 13:00:00,Sweden,South Central Sweden,SE-SE3,1.36,27.01,99.84,61.39,entsoe.eu,false,
2022-01-04 14:00:00,Sweden,South Central Sweden,SE-SE3,2.31,28.02,99.7,62.05,entsoe.eu,false,
2022-01-04 15:00:00,Sweden,South Central Sweden,SE-SE3,3.43,29.59,99.53,62.67,entsoe.eu,false,
2022-01-04 16:00:00,Sweden,South Central Sweden,SE-SE3,3.0,29.18,99.6,63.08,entsoe.eu,false,
2022-01-04 17:00:00,Sweden,South Central Sweden,SE-SE3,5.37,32.14,99.26,62.1,entsoe.eu,false,
2022-01-04 18:00:00,Sweden,South Central Sweden,SE-SE3,3.92,30.69,99.47,60.12,entsoe.eu,false,
2022-01-04 19:00:00,Sweden,South Central Sweden,SE-SE3,3.01,29.89,99.61,58.04,entsoe.eu,false,
2022-01-04 20:00:00,Sweden,South Central Sweden,SE-SE3,3.31,30.11,99.58,56.83,entsoe.eu,false,
2022-01-04 21:00:00,Sweden,South Central Sweden,SE-SE3,1.42,27.96,99.84,56.31,entsoe.eu,false,
2022-01-04 22:00:00,Sweden,South Central Sweden,SE-SE3,2.6,29.62,99.68,55.03,entsoe.eu,false,
2022-01-04 23:00:00,Sweden,South Central Sweden,SE-SE3,1.38,27.16,99.85,55.49,entsoe.eu,false,
2022-01-05 00:00:00,Sweden,South Central Sweden,SE-SE3,1.31,26.06,99.85,54.16,entsoe.eu,false,
2022-01-05 01:00:00,Sweden,South Central Sweden,SE-SE3,1.26,25.21,99.86,54.0,entsoe.eu,false,
2022-01-05 02:00:00,Sweden,South Central Sweden,SE-SE3,1.26,25.23,99.86,53.66,entsoe.eu,false,
2022-01-05 03:00:00,Sweden,South Central Sweden,SE-SE3,1.3,25.78,99.85,53.72,entsoe.eu,false,
2022-01-05 04:00:00,Sweden,South Central Sweden,SE-SE3,1.39,27.02,99.85,54.45,entsoe.eu,false,
2022-01-05 05:00:00,Sweden,South Central Sweden,SE-SE3,1.41,27.3,99.84,56.47,entsoe.eu,false,
2022-01-05 06:00:00,Sweden,South Central Sweden,SE-SE3,1.38,27.64,99.85,57.34,entsoe.eu,false,
2022-01-05 07:00:00,Sweden,South Central Sweden,SE-SE3,2.39,28.9,99.72,59.1,entsoe.eu,false,
2022-01-05 08:00:00,Sweden,South Central Sweden,SE-SE3,2.29,28.5,99.73,59.71,entsoe.eu,false,
2022-01-05 09:00:00,Sweden,South Central Sweden,SE-SE3,2.14,28.48,99.75,59.55,entsoe.eu,false,
2022-01-05 10:00:00,Sweden,South Central Sweden,SE-SE3,2.12,28.72,99.75,58.96,entsoe.eu,false,
2022-01-05 11:00:00,Sweden,South Central Sweden,SE-SE3,2.92,29.38,99.64,58.87,entsoe.eu,false,
2022-01-05 12:00:00,Sweden,South Central Sweden,SE-SE3,3.29,29.59,99.59,59.13,entsoe.eu,false,
2022-01-05 13:00:00,Sweden,South Central Sweden,SE-SE3,4.8,31.41,99.38,59.01,entsoe.eu,false,
2022-01-05 14:00:00,Sweden,South Central Sweden,SE-SE3,3.62,29.24,99.55,59.29,entsoe.eu,false,
2022-01-05 15:00:00,Sweden,South Central Sweden,SE-SE3,2.34,28.24,99.72,60.46,entsoe.eu,false,
2022-01-05 16:00:00,Sweden,South Central Sweden,SE-SE3,1.35,27.12,99.85,59.54,entsoe.eu,false,
2022-01-05 17:00:00,Sweden,South Central Sweden,SE-SE3,1.33,27.08,99.85,60.02,entsoe.eu,false,
2022-01-05 18:00:00,Sweden,South Central Sweden,SE-SE3,1.35,27.31,99.85,59.98,entsoe.eu,false,
2022-01-05 19:00:00,Sweden,South Central Sweden,SE-SE3,1.36,27.4,99.85,60.38,entsoe.eu,false,
2022-01-05 20:00:00,Sweden,South Central Sweden,SE-SE3,1.38,27.66,99.85,60.02,entsoe.eu,false,
2022-01-05 21:00:00,Sweden,South Central Sweden,SE-SE3,1.39,27.82,99.85,59.96,entsoe.eu,false,
2022-01-05 22:00:00,Sweden,South Central Sweden,SE-SE3,1.34,27.21,99.85,59.75,entsoe.eu,false,
2022-01-05 23:00:00,Sweden,South Central Sweden,SE-SE3,1.18,24.85,99.87,59.93,entsoe.eu,false,
2022-01-06 00:00:00,Sweden,South Central Sweden,SE-SE3,1.1,23.78,99.88,59.66,entsoe.eu,false,
2022-01-06 01:00:00,Sweden,South Central Sweden,SE-SE3,1.06,23.36,99.88,59.17,entsoe.eu,false,
2022-01-06 02:00:00,Sweden,South Central Sweden,SE-SE3,1.07,23.42,99.88,59.08,entsoe.eu,false,
2022-01-06 03:00:00,Sweden,South Central Sweden,SE-SE3,1.08,23.63,99.88,59.19,entsoe.eu,false,
2022-01-06 04:00:00,Sweden,South Central Sweden,SE-SE3,1.18,25.1,99.87,59.07,entsoe.eu,false,
2022-01-06 05:00:00,Sweden,South Central Sweden,SE-SE3,1.25,26.46,99.86,59.65,entsoe.eu,false,
2022-01-06 06:00:00,Sweden,South Central Sweden,SE-SE3,1.41,27.1,99.84,60.67,entsoe.eu,false,
2022-01-06 07:00:00,Sweden,South Central Sweden,SE-SE3,1.57,28.6,99.82,61.56,entsoe.eu,false,
2022-01-06 08:00:00,Sweden,South Central Sweden,SE-SE3,4.26,31.5,99.43,62.91,entsoe.eu,false,
2022-01-06 09:00:00,Sweden,South Central Sweden,SE-SE3,4.38,31.69,99.41,62.92,entsoe.eu,false,
2022-01-06 10:00:00,Sweden,South Central Sweden,SE-SE3,4.44,32.41,99.4,61.91,entsoe.eu,false,
2022-01-06 11:00:00,Sweden,South Central Sweden,SE-SE3,4.54,32.69,99.39,61.52,entsoe.eu,false,
2022-01-06 12:00:00,Sweden,South Central Sweden,SE-SE3,3.51,31.58,99.54,61.19,entsoe.eu,false,
2022-01-06 13:00:00,Sweden,South Central Sweden,SE-SE3,5.42,33.72,99.26,60.89,entsoe.eu,false,
2022-01-06 14:00:00,Sweden,South Central Sweden,SE-SE3,3.05,30.66,99.6,63.08,entsoe.eu,false,
2022-01-06 15:00:00,Sweden,South Central Sweden,SE-SE3,3.22,30.47,99.57,63.36,entsoe.eu,false,
2022-01-06 16:00:00,Sweden,South Central Sweden,SE-SE3,4.32,31.4,99.41,63.08,entsoe.eu,false,
2022-01-06 17:00:00,Sweden,South Central Sweden,SE-SE3,4.36,31.55,99.41,62.43,entsoe.eu,false,
2022-01-06 18:00:00,Sweden,South Central Sweden,SE-SE3,5.46,32.97,99.25,62.22,entsoe.eu,false,
2022-01-06 19:00:00,Sweden,South Central Sweden,SE-SE3,4.77,32.16,99.36,62.01,entsoe.eu,false,
2022-01-06 20:00:00,Sweden,South Central Sweden,SE-SE3,2.35,30.34,99.71,64.63,entsoe.eu,false,
2022-01-06 21:00:00,Sweden,South Central Sweden,SE-SE3,5.66,34.83,99.26,66.36,entsoe.eu,false,
2022-01-06 22:00:00,Sweden,South Central Sweden,SE-SE3,9.47,39.58,98.76,63.11,entsoe.eu,false,
2022-01-06 23:00:00,Sweden,South Central Sweden,SE-SE3,8.76,39.35,98.91,60.57,entsoe.eu,false,
2022-01-07 00:00:00,Sweden,South Central Sweden,SE-SE3,9.29,38.39,98.81,60.52,entsoe.eu,false,
2022-01-07 01:00:00,Sweden,South Central Sweden,SE-SE3,10.2,37.23,98.69,60.72,entsoe.eu,false,
2022-01-07 02:00:00,Sweden,South Central Sweden,SE-SE3,9.11,35.81,98.81,60.94,entsoe.eu,false,
2022-01-07 03:00:00,Sweden,South Central Sweden,SE-SE3,11.54,38.57,98.51,60.86,entsoe.eu,false,
2022-01-07 04:00:00,Sweden,South Central Sweden,SE-SE3,11.09,38.65,98.63,60.17,entsoe.eu,false,
2022-01-07 05:00:00,Sweden,South Central Sweden,SE-SE3,9.37,37.87,98.81,62.59,entsoe.eu,false,
2022-01-07 06:00:00,Sweden,South Central Sweden,SE-SE3,9.75,38.59,98.71,64.34,entsoe.eu,false,
2022-01-07 07:00:00,Sweden,South Central Sweden,SE-SE3,11.94,41.41,98.43,64.7,entsoe.eu,false,
