carbon_intensity_production_avg
37,66
37,48
37,29
37,22
37,5
37,76
38,65
38,93
38,83
38,72
38,75
38,76
38,85
38,78
38,57
38,66
38,81
38,57
38,82
38,69
38,16
37,91
37,58
38,19
38,32
38,48
38,24
38,31
38,4
38,67
39,56
39,64
39,7
39,53
39,51
39,42
39,55
39,6
39,41
39,51
39,35
39,42
39,22
38,97
38,97
38,45
38,28
38,25
37,69
37,54
37,36
37,09
37,1
36,81
37,59
37,96
37,33
37,39
37,76
37,6
37,46
37,55
37,48
37,45
37,35
37,06
36,81
36,64
36,73
36,71
36,72
37,98
38,42
38,98
38,92
39,27
40,18
40,51
41,52
41,66
42,13
42,59
42,74
43,21
43,26
43,14
42,85
43,26
43,0
43,49
43,27
42,55
41,21
40,13
40,18
40,24
40,39
40,07
40,16
40,13
40,68
41,54
42,31
43,25
43,7
43,83
44,0
43,4
43,29
43,12
43,15
43,15
43,06
43,21
42,98
42,36
41,31
40,54
40,21
39,93
39,59
39,36
39,6
39,91
40,65
41,69
42,22
42,16
42,18
42,23
42,34
42,41
42,43
42,57
42,46
42,76
42,73
42,89
42,89
42,21
41,35
41,23
40,82
41,85
41,68
41,65
41,79
42,24
42,9
42,46
43,41
43,86
43,62
43,93
44,34
44,22
44,35
44,5
44,34
44,42
44,4
44,6
44,79
44,7
44,52
45,0
45,83
46,64
46,54
46,36
46,17
45,98
45,29
45,03
44,84
44,94
44,86
45,22
45,1
45,04
44,91
44,65
44,46
44,39
44,57
44,8
44,83
44,88
44,73
44,57
44,7
45,11
44,49
44,16
44,33
44,31
44,51
44,37
44,63
44,45
44,37
44,74
45,11
44,95
44,96
45,0
44,8
44,62
44,54
44,39
44,44
43,83
43,38
41,93
40,43
39,93
39,96
39,67
39,54
39,72
40,08
40,73
41,94
42,7
42,99
43,2
43,04
43,1
43,32
43,24
43,06
42,87
43,37
43,76
43,83
44,29
44,06
43,85
42,91
44,39
43,84
43,96
43,49
43,21
43,23
43,21
42,56
42,22
42,15
41,75
41,37
41,2
40,84
40,9
40,88
40,96
40,62
40,69
40,79
41,16
40,79
40,39
40,02
39,64
39,37
39,27
39,53
39,51
39,68
40,59
41,4
42,62
43,01
43,23
43,91
43,71
43,74
43,54
44,22
44,0
44,7
45,16
45,7
45,46
44,32
43,69
42,67
42,69
43,19
43,06
43,15
42,93
42,12
42,42
43,31
42,93
43,24
43,41
43,41
43,33
43,3
43,12
43,07
42,81
42,81
42,76
42,62
41,66
41,32
41,21
40,94
41,54
41,69
41,98
42,1
42,62
43,55
43,9
45,01
45,61
45,95
46,47
46,8
46,65
46,15
46,06
45,95
46,03
46,59
46,12
45,54
45,32
44,53
43,57
42,9
42,95
42,91
42,43
42,85
42,9
43,33
43,84
44,85
45,8
44,79
45,1
45,21
45,48
44,21
43,68
43,13
43,02
42,67
43,28
43,34
42,89
42,77
42,56
42,56
43,04
42,87
43,2
43,49
43,75
43,94
44,33
45,11
45,85
46,48
46,85
47,04
47,4
47,74
47,85
47,93
48,04
48,39
48,77
48,84
48,83
48,29
48,02
47,87
46,34
45,71
45,9
45,89
46,09
45,91
45,8
45,61
45,74
45,67
45,29
45,34
45,22
45,23
45,3
44,81
45,68
46,16
45,96
45,82
45,49
45,23
45,17
44,97
45,21
44,96
45,07
44,91
44,79
44,64
45,04
45,57
46,79
46,47
46,94
47,23
47,31
47,69
47,52
46,25
45,9
45,92
45,73
45,58
45,38
44,48
43,85
44,13
45,0
45,09
45,37
45,64
45,75
45,76
45,64
44,57
45,1
44,96
44,98
45,11
44,97
44,8
44,93
44,98
44,88
44,94
45,02
44,92
44,8
43,76
43,4
44,49
44,25
44,02
43,84
43,43
42,94
42,86
42,13
41,35
41,71
41,73
41,34
41,46
40,95
40,65
40,63
40,57
40,19
40,2
40,3
39,71
39,36
38,75
38,22
37,66
38,01
37,7
37,11
37,22
37,39
37,59
37,29
36,99
37,17
36,89
36,31
36,2
35,83
35,93
35,87
35,74
35,6
35,59
35,31
35,32
35,12
34,99
34,73
35,33
35,65
36,08
36,18
36,07
35,8
35,86
36,28
36,76
37,56
37,69
37,88
37,98
38,04
37,84
38,05
38,04
37,42
37,39
36,67
36,59
36,44
35,93
36,02
36,11
36,01
36,65
37,23
37,53
37,56
37,53
38,4
38,86
39,69
39,95
40,17
40,59
40,97
41,27
41,55
41,84
42,02
42,53
42,77
43,08
43,14
42,49
41,94
42,05
43,04
43,94
44,17
44,27
44,31
44,56
44,43
44,97
45,4
44,88
45,11
45,02
45,16
45,19
45,17
45,15
45,48
46,92
46,83
46,58
46,67
46,47
45,54
45,52
46,3
46,11
45,88
45,68
46,09
45,91
45,23
45,78
45,84
46,0
46,0
46,07
46,2
45,9
45,74
45,25
44,79
45,14
45,01
44,93
44,65
44,12
43,42
43,24
44,01
43,62
43,81
43,78
43,09
42,66
43,83
45,56
46,12
46,37
45,61
45,52
46,31
46,73
46,15
45,96
45,59
45,62
45,51
45,22
45,24
45,11
44,75
44,56
44,43
44,32
44,45
44,1
43,86
43,19
43,53
44,05
44,41
44,6
44,94
43,92
44,09
44,3
44,1
43,92
43,87
43,71
44,88
44,97
44,52
43,63
42,52
41,4
42,19
42,92
43,34
43,29
43,39
42,67
42,29
43,37
43,63
43,8
43,07
43,03
43,27
43,44
43,51
43,6
43,6
43,99
44,14
43,97
43,73
43,41
43,28
42,71
44,54
44,74
44,85
45,03
45,16
45,12
44,62
44,87
45,94
46,3
45,8
45,49
44,87
45,34
45,54
45,46
45,3
45,27
44,76
45,13
44,47
