Hour;Load
533;2,1
534;2,154
535;2,298
536;2,382
537;2,28
538;2,28
539;2,286
540;2,316
541;2,388
542;2,37
543;2,388
544;2,274
545;2,34
546;2,322
547;2,256
548;2,256
549;2,22
550;2,202
551;2,25
552;2,226
553;2,184
554;2,154
555;2,082
556;2,1
557;2,04
558;2,076
559;2,004
560;1,992
561;2,1
562;2,178
563;2,322
564;2,202
565;2,22
566;2,292
567;2,346
568;2,346
569;2,364
570;2,364
571;2,358
572;2,28
573;2,358
574;2,466
575;2,472
576;2,436
577;2,556
578;2,502
579;2,526
580;2,472
581;2,37
582;2,28
583;2,436
584;2,328
585;2,184
586;2,286
587;2,382
588;2,406
589;2,37
590;2,46
591;2,502
592;2,586
593;2,49
594;2,508
595;2,532
596;2,568
597;2,544
598;2,598
599;2,466
600;2,574
601;2,484
602;2,49
603;2,61
604;2,592
605;2,58
606;2,412
607;2,406
608;2,622
609;2,586
610;2,598
611;2,526
612;2,352
613;2,436
614;2,574
615;2,61
616;2,562
617;2,484
618;2,538
619;2,592
620;2,628
621;2,574
622;2,556
623;2,478
624;2,574
625;2,532
626;2,43
627;2,622
628;2,328
629;2,106
630;2,112
631;2,22
632;2,274
633;2,328
634;2,328
635;2,436
636;2,346
637;2,208
638;2,178
639;2,142
640;2,238
641;2,172
642;2,268
643;2,298
644;2,346
645;2,526
646;2,622
647;2,532
648;2,574
649;2,508
650;2,412
651;2,532
652;2,436
653;2,388
654;2,316
655;2,556
656;2,724
657;2,76
658;2,646
659;2,61
660;2,604
661;2,466
662;2,562
663;2,544
664;2,646
665;2,568
666;2,574
667;2,562
668;2,58
669;2,412
670;2,286
671;2,268
672;2,49
673;2,442
674;2,286
675;2,436
676;2,25
677;2,322
678;2,094
679;2,232
680;2,412
681;2,496
682;2,376
683;2,304
684;2,448
685;2,376
686;2,346
687;2,406
688;2,598
689;2,496
690;2,454
691;2,25
692;2,352
693;2,358
694;2,328
695;2,352
696;2,376
697;2,34
698;2,268
699;2,22
700;2,214
701;2,154
702;2,082
703;2,166
704;2,28
705;2,244
706;2,22
707;2,31
708;2,25
709;2,214
710;2,268
711;2,226
712;2,352
713;2,46
714;2,472
715;2,388
716;2,37
717;2,256
718;2,256
719;2,328
720;2,244
721;2,232
722;2,184
723;2,088
724;2,262
725;2,058
726;2,082
727;2,034
728;2,184
729;2,292
730;2,316
731;2,334
732;2,388
733;2,4
734;2,352
735;2,316
736;2,394
737;2,418
738;2,37
739;2,196
740;2,22
741;2,424
742;2,46
743;2,316
744;2,436
745;2,496
746;2,466
747;2,532
748;2,442
749;2,43
750;2,334
751;2,574
752;2,688
753;2,7
754;2,67
755;2,682
756;2,358
757;2,352
758;2,388
759;2,4
760;2,766
761;2,658
762;2,706
763;2,712
764;2,688
765;2,7
766;2,718
767;2,676
768;2,76
769;2,73
770;2,616
771;2,7
772;2,64
773;2,748
774;2,43
775;2,412
776;2,334
777;2,316
778;2,226
779;2,292
780;2,358
781;2,382
782;2,316
783;2,298
784;2,406
785;2,262
786;2,244
787;2,292
788;2,352
789;2,352
790;2,346
791;2,31
792;2,394
793;2,364
794;2,28
795;2,352
796;2,304
797;2,268
798;2,178
799;2,346
800;2,43
801;2,412
802;2,298
803;2,412
804;2,442
805;2,4
806;2,268
807;2,31
808;2,394
809;2,298
810;2,274
811;2,268
812;2,304
813;2,34
814;2,352
815;2,268
816;2,412
817;2,382
818;2,286
819;2,394
820;2,28
821;2,346
822;2,184
823;2,334
824;2,37
825;2,37
826;2,262
827;2,25
828;2,274
829;2,328
830;2,322
831;2,298
832;2,364
833;2,316
834;2,25
835;2,214
836;2,298
837;2,376
838;2,274
839;2,268
840;2,286
841;2,22
842;2,214
843;2,406
844;2,238
845;2,256
846;2,07
847;2,196
848;2,22
849;2,256
850;2,184
851;2,598
852;2,718
853;2,598
854;2,64
855;2,484
856;2,634
857;2,514
858;2,406
859;2,406
860;2,4
861;2,328
862;2,376
863;2,43
864;2,358
865;2,37
866;2,292
867;2,286
868;2,238
869;2,262
870;2,262
871;2,394
872;2,484
873;2,49
874;2,412
875;2,34
876;2,46
877;2,472
878;2,424
879;2,592
880;2,586
881;2,556
882;2,52
883;2,418
884;2,442
885;2,214
886;2,1
887;2,124
888;2,124
889;2,01
890;2,094
891;2,016
892;1,992
893;1,944
894;1,944
895;1,818
896;1,866
897;1,998
898;2,004
899;2,178
900;2,304
901;2,274
902;2,34
903;2,382
904;2,328
905;2,34
906;2,352
907;2,382
908;2,328
909;2,478
910;2,526
911;2,502
912;2,55
913;2,574
914;2,514
915;2,61
916;2,466
917;2,526
918;2,43
919;2,676
920;2,652
921;2,688
922;2,706
923;2,64
924;2,664
925;2,694
926;2,658
927;2,532
928;2,622
929;2,61
930;2,538
931;2,646
932;2,586
933;2,574
934;2,61
935;2,448
936;2,496
937;2,49
938;2,52
939;2,562
940;2,502
941;2,55
942;2,328
943;2,37
944;2,334
945;2,304
946;2,394
947;2,436
948;2,502
949;2,682
950;2,55
951;2,406
952;2,508
953;2,52
954;2,478
955;2,622
956;2,586
957;2,556
958;2,502
959;2,562
960;2,598
961;2,454
962;2,424
963;2,448
964;2,466
965;2,436
966;2,454
967;2,43
968;2,514
969;2,628
970;2,616
971;2,442
972;2,7
973;2,658
974;2,688
975;2,586
976;2,688
977;2,652
978;2,658
979;2,628
980;2,664
981;2,622
982;2,568
983;2,508
984;2,616
985;2,556
986;2,52
987;2,598
988;2,556
989;2,58
990;2,55
991;2,64
992;2,544
993;2,556
994;2,628
995;2,622
996;2,586
997;2,448
998;2,424
999;2,334
1000;2,532
1001;2,688
1002;2,898
1003;2,712
1004;2,718
1005;2,664
1006;2,64
1007;2,478
1008;2,544
1009;2,538
1010;2,418
1011;2,508
1012;2,514
1013;2,424
1014;2,31
1015;2,454
1016;2,514
1017;2,496
1018;2,436
1019;2,43
1020;2,418
1021;2,376
1022;2,508
1023;2,43
1024;2,394
1025;2,508
1026;2,454
1027;2,184
1028;2,286
1029;2,298
1030;2,202
1031;2,226
1032;2,268
1033;2,37
1034;2,232
1035;2,286
1036;2,16
1037;2,154
1038;2,1
1039;2,28
1040;2,274
1041;2,334
1042;2,358
1043;2,28
1044;2,328
1045;2,37
1046;2,352
1047;2,346
1048;2,382
1049;2,364
1050;2,328
1051;2,28
1052;2,262
1053;2,238
1054;2,118
1055;2,202
1056;2,178
1057;2,238
1058;2,118
1059;2,094
1060;2,124
1061;2,136
1062;2,16
1063;2,19
1064;2,208
1065;2,4
1066;2,298
1067;2,31
1068;2,34
1069;2,34
1070;2,34
1071;2,394
1072;2,34
1073;2,436
1074;2,328
1075;2,412
1076;2,328
1077;2,484
1078;2,532
1079;2,424
1080;2,55
1081;2,568
1082;2,46
1083;2,496
1084;2,544
1085;2,55
1086;2,442
1087;2,586
1088;2,67
1089;2,73
1090;2,718
1091;2,628
1092;2,772
1093;2,676
1094;2,64
1095;2,604
1096;2,652
1097;2,598
1098;2,592
1099;2,598
1100;2,556
1101;2,562
1102;2,502
1103;2,46
1104;2,532
1105;2,568
1106;2,514
1107;2,52
1108;2,52
1109;2,598
1110;2,484
1111;2,37
1112;2,322
1113;2,316
1114;2,382
1115;2,382
1116;2,424
1117;2,304
1118;2,406
1119;2,31
1120;2,508
1121;2,556
1122;2,622
1123;2,598
1124;2,514
1125;2,502
1126;2,64
1127;2,538
1128;2,592
1129;2,586
1130;2,574
1131;2,652
1132;2,628
1133;2,616
1134;2,556
1135;2,718
1136;2,784
1137;2,826
1138;2,838
1139;2,832
1140;2,724
1141;2,502
1142;2,556
1143;2,472
1144;2,748
1145;2,634
1146;2,694
1147;2,628
1148;2,592
1149;2,634
1150;2,682
1151;2,628
1152;2,664
1153;2,64
1154;2,682
1155;2,64
1156;2,58
1157;2,604
1158;2,46
1159;2,544
1160;2,604
1161;2,556
1162;2,544
1163;2,436
1164;2,646
1165;2,802
1166;2,808
1167;2,718
1168;2,772
1169;2,526
1170;2,652
1171;2,64
1172;2,688
1173;2,646
1174;2,64
1175;2,598
1176;2,526
1177;2,646
1178;2,634
1179;2,616
1180;2,538
1181;2,568
1182;2,394
1183;2,544
1184;2,628
1185;2,7
1186;2,67
1187;2,622
1188;2,55
1189;2,568
1190;2,586
1191;2,502
1192;2,55
1193;2,562
1194;2,46
1195;2,328
1196;2,28
1197;2,292
1198;2,346
1199;2,316
1200;2,22
1201;2,298
1202;2,268
1203;2,244
1204;2,202
1205;2,148
1206;2,142
1207;2,286
1208;2,364
1209;2,286
1210;2,4
1211;2,484
1212;2,46
1213;2,478
1214;2,448
1215;2,58
1216;2,538
1217;2,664
1218;2,556
1219;2,424
1220;2,412
1221;2,49
1222;2,466
1223;2,448
1224;2,424
1225;2,484
1226;2,376
1227;2,322
1228;2,238
1229;2,256
1230;2,154
1231;2,136
1232;2,304
1233;2,448
1234;2,238
1235;2,412
1236;2,382
1237;2,334
1238;2,322
1239;2,412
1240;2,37
1241;2,448
1242;2,394
1243;2,502
1244;2,406
1245;2,34
1246;2,322
1247;2,292
1248;2,214
1249;2,22
1250;2,082
1251;2,136
1252;2,118
1253;2,004
1254;1,83
1255;1,824
1256;1,818
1257;1,818
1258;1,722
1259;1,764
1260;1,806
1261;1,776
1262;1,734
1263;1,788
1264;1,77
1265;1,758
1266;1,644
1267;1,692
1268;1,632
1269;1,632
1270;1,62
1271;1,638
1272;1,65
1273;1,632
1274;1,596
1275;1,638
1276;1,644
1277;1,62
1278;1,596
1279;1,674
1280;1,716
1281;1,728
1282;1,692
1283;1,638
1284;1,644
1285;1,662
1286;1,77
1287;1,74
1288;1,728
1289;1,704
1290;1,644
1291;1,656
1292;1,65
1293;1,626
1294;1,644
1295;1,662
1296;1,638
1297;1,65
1298;1,608
1299;1,68
1300;1,644
1301;1,632
1302;1,614
1303;1,872
1304;1,974
1305;1,92
1306;1,854
1307;1,896
1308;1,962
1309;1,914
1310;2,016
1311;2,046
1312;2,208
1313;2,178
1314;2,238
1315;2,298
1316;2,352
1317;2,31
1318;2,334
1319;2,274
1320;2,358
1321;2,304
1322;2,202
1323;2,25
1324;2,19
1325;2,178
1326;2,1
1327;2,136
1328;2,16
1329;2,136
1330;2,136
1331;2,196
1332;2,304
1333;2,394
1334;2,37
1335;2,226
1336;2,31
1337;2,22
1338;2,118
1339;2,178
1340;2,178
1341;2,208
1342;2,106
1343;2,028
1344;2,118
1345;2,076
1346;1,956
1347;1,95
1348;2,016
1349;1,992
1350;1,95
1351;2,292
1352;2,28
1353;2,286
1354;2,358
1355;2,238
1356;2,202
1357;2,202
1358;2,46
1359;2,502
1360;2,568
1361;2,67
1362;2,598
