,P_PV,P_BESS,E_BESS,pv2load,pv2bess,pv_curtailed,bess2load,lcoe,lcos,lco2,savings_EUR,co2avoided_kgCO2
2216,10.0,3.0,18.0,2398.9261382347363,7637.869889210988,2261.0016992694746,7258.50637300044,48.205296609731874,54.90767438618813,220.55551488680038,625862.6161648263,241392.30217701045
2217,10.0,3.0,21.0,2516.1488033505257,7697.754115610988,2083.894807753685,7316.061388080441,51.45418962321349,62.920239462357614,247.14687264495316,634969.69249266,245468.3141498783
2218,10.0,3.0,24.0,2728.616961645263,7608.459783674147,1960.7209813957902,7232.84677274044,54.839070952205844,70.97580220104581,274.0561099044499,642026.7123850863,248546.38157757977
2219,10.0,3.0,27.0,2846.1226053663154,7575.363808658357,1876.3113126905273,7202.07059647544,58.383274848148524,79.15858340128666,301.5467496628772,646984.0354390888,250589.11732623974
2220,10.0,3.0,30.0,2953.1919782505247,7535.596681884674,1809.0090665800008,7165.906826040441,61.96356478673406,87.33767864595318,329.080688350224,651241.423142898,252267.29148789938
2221,10.0,3.0,33.0,3084.0960412242102,7461.092851005726,1752.6088344852642,7095.793186705439,65.55910661823562,95.4977444002216,356.585412544637,654896.2862997652,253709.7044223834
2222,10.0,3.0,36.0,3218.682060892631,7374.9387095952,1704.1769562273691,7015.561752365441,69.15542223563429,103.62605570262988,384.00492226976604,657962.2737949652,255027.07327101965
2223,10.0,3.0,39.0,3328.134875655789,7305.392314010989,1664.2705370484218,6950.15767656044,72.78664790676733,111.78045123602035,411.54695476029406,660421.0869734118,256080.9922773116
2224,10.0,3.0,42.0,3451.0580571768414,7216.527968889937,1630.2117006484218,6867.35154869544,76.41598852063375,119.91092490396855,439.0211450243208,662697.5565119623,257049.02788983873
2225,10.0,3.0,45.0,3547.1714893031576,7151.7672675267795,1598.8589698852638,6806.49388240044,80.05478728059123,128.0385111688803,466.501458816731,664574.9967087843,257888.43085550086
2226,10.0,3.0,48.0,3617.7341093873665,7107.632777695202,1572.4308396326326,6766.181117060443,83.70922420522571,136.1765507953811,494.03330902913194,666157.2176428793,258623.50966821218
2227,10.0,4.0,0.0,2016.6028158651998,5663.912104052623,4617.282806797373,5380.716498850001,30.190037189901556,0.0,44.610755053326386,467344.9588306544,188331.15834449834
2228,10.0,4.0,4.0,1905.5094825399367,6520.511591095257,3871.7766530800036,6192.9660115405,34.222575673191905,14.550534442386668,90.14042217372787,522860.3752220578,204963.3629291524
2229,10.0,4.0,8.0,1917.1073615578316,7058.435414519469,3322.2549506378973,6704.243622043499,38.3902750601427,27.336120947071933,131.0699450874199,563049.5063873999,217217.7442866125
2230,10.0,4.0,12.0,2085.445001532105,7384.341663460987,2828.0110617221076,7015.37455853794,42.282058041853354,38.84391262665629,168.1167272794742,595269.5414574462,228482.28419519114
2231,10.0,4.0,16.0,2303.6144221399995,7579.241685095197,2414.941619480002,7202.049579090441,46.1437229453269,49.58607692937122,203.03684200810963,618155.6344579908,237869.96986554837
2232,10.0,4.0,20.0,2468.4435665978945,7694.403013258357,2134.951146858949,7312.97284084544,50.345681114877614,60.23521630148146,238.20681003079952,632197.6687739812,244268.76098498446
2233,10.0,4.0,24.0,2728.616961645263,7608.459783674146,1960.720981395791,7232.84677274044,54.839070952205844,70.97580220104581,274.0561099044499,642026.7123850863,248546.38157757977
2234,10.0,4.0,28.0,2876.728717892631,7567.931829289936,1853.1371795326327,7195.865216075441,59.57777764781024,81.89151986663491,310.74418571015946,648412.054219682,251165.29792715295
2235,10.0,4.0,32.0,3056.2806894873684,7470.377246705725,1771.1397905221063,7104.708362620439,64.35673767563101,92.77612327158054,347.40712561517154,653790.2314419686,253258.81595407194
2236,10.0,4.0,36.0,3218.6820608926305,7374.9387095952,1704.1769562273694,7015.56175236544,69.1554222356343,103.62605570262991,384.0049222697661,657962.2737949651,255027.07327101965
2237,10.0,4.0,40.0,3370.8005053399993,7274.768011516252,1652.229209858948,6921.919589190441,73.9919856355389,114.48591385484248,420.685684661819,661234.8244595691,256430.6122454424
2238,10.0,4.0,44.0,3515.7011566978945,7173.468668053093,1608.6279019642113,6827.205212900439,78.8370418781635,125.32344066189184,457.3182653865298,664011.0824752699,257632.0821193769
2239,10.0,4.0,48.0,3617.7341093873674,7107.632777695199,1572.4308396326321,6766.18111706044,83.70922420522574,136.17655079538116,494.0333090291321,666157.2176428792,258623.50966821206
2240,10.0,4.0,52.0,3703.544417171579,7052.150286426778,1542.103023116843,6714.992750355439,88.59735471430925,147.03435628865319,530.7846880113037,667939.959330423,259461.13715596133
2241,10.0,4.0,56.0,3830.562408241579,6950.251528277831,1516.9837901957903,6619.7089301139395,93.47892955343677,157.86384861120644,567.4493807864285,669477.7716197494,260234.57986409642
2242,10.0,4.0,60.0,3843.9124531994735,6967.091058583095,1486.7942149326323,6637.226483903938,98.33907647388861,168.64171057349924,603.9419988596555,671017.1731632624,260976.9998067836
2243,10.0,4.0,64.0,3882.599252282105,6958.695192558358,1456.5032818747375,6630.77041118044,103.15730383334642,179.33302129301518,640.1372933160515,672564.4540456268,261752.6338446423
2244,10.0,5.0,0.0,2016.6028158651998,5663.912104052623,4617.282806797373,5380.716498850001,30.190037189901556,0.0,44.610755053326386,467344.9588306544,188331.15834449834
2245,10.0,5.0,5.0,1884.0726254873048,6687.472481905786,3726.2526193221083,6350.7238578105,35.29012858147592,17.887076330065433,100.79180483493968,533907.181994728,208156.20529888998
2246,10.0,5.0,10.0,1939.880898068947,7290.77645085046,3067.140377795792,6925.727606557941,40.36820575509536,33.22872495044857,150.0179033741321,579821.8417274768,222957.11443864834
2247,10.0,5.0,15.0,2270.424193755789,7517.483777974145,2509.8897549852645,7142.524567325439,45.168671430343586,46.94483216619025,194.413041699145,613135.4813199132,235729.36698202827
2248,10.0,5.0,20.0,2468.4435665978945,7694.403013258357,2134.951146858949,7312.97284084544,50.345681114877614,60.23521630148146,238.20681003079952,632197.6687739812,244268.76098498446
2249,10.0,5.0,25.0,2782.7376882189474,7587.556215174146,1927.5038233221062,7212.893382665439,55.99784034170905,73.68040707722412,283.12369473532493,643964.0882545394,249360.0113750378
2250,10.0,5.0,30.0,2953.1919782505247,7535.596681884675,1809.0090665800012,7165.906826040441,61.96356478673406,87.33767864595318,329.080688350224,651241.423142898,252267.29148789938
